assessment_name,url,remote_testing_support,adaptive/irt_support,test_type,description
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,No,No,Unknown,No Description Found
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,No,No,Unknown,No Description Found
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,No,No,Unknown,No Description Found
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,No,No,Unknown,No Description Found
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,No,No,Unknown,No Description Found
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,No,No,Unknown,No Description Found
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,No,No,Unknown,No Description Found
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,No,No,Unknown,No Description Found
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,No,No,Unknown,No Description Found
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,No,No,Unknown,No Description Found
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,No,No,Unknown,No Description Found
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,No,No,Unknown,No Description Found
